time, rate
0,11000.0191,2.0
1,11000.0391,2.0
2,11000.0591,2.0
3,11000.0791,2.0
4,11000.0991,2.0
5,11000.1191,2.0
6,11000.1391,2.0
7,11000.1591,2.0
8,11000.1791,2.0
9,11000.1991,2.0
10,11000.2191,2.0
11,11000.2391,2.0
12,11000.2591,2.0
13,11000.2791,2.0
14,11000.2991,2.0
15,11000.3191,2.0
16,11000.3391,2.0
17,11000.3591,2.0
18,11000.3791,2.0
19,11000.3991,2.0
20,11000.4191,2.0
21,11000.4391,2.0
22,11000.4591,2.0
23,11000.4791,2.0
24,11000.4991,2.0
25,11000.5191,2.0
26,11000.5391,2.0
27,11000.5591,2.0
28,11000.5791,2.0
29,11000.5991,2.0
30,11000.6191,2.0
31,11000.6391,2.0
32,11000.6591,2.0
33,11000.6791,2.0
34,11000.6991,2.0
35,11000.7191,2.0
36,11000.7391,2.0
37,11000.7591,2.0
38,11000.7791,2.0
39,11000.7991,2.0
40,11000.8191,2.0
41,11000.8391,2.0
42,11000.8591,2.0
43,11000.8791,3.0
44,11000.8991,3.0
45,11000.9191,3.0
46,11000.9391,2.0
47,11000.9591,2.0
48,11000.9791,2.0
49,11000.9991,2.0
50,11001.0191,2.0
51,11001.0391,2.0
52,11001.0591,2.0
53,11001.0791,3.0
54,11001.0991,3.0
55,11001.1191,3.0
56,11001.1391,4.0
57,11001.1591,4.0
58,11001.1791,4.0
59,11001.1991,4.0
60,11001.2191,4.0
61,11001.2391,4.0
62,11001.2591,4.0
63,11001.2791,4.0
64,11001.2991,4.0
65,11001.3191,4.0
66,11001.3391,4.0
67,11001.3591,4.0
68,11001.3791,4.0
69,11001.3991,4.0
70,11001.4191,4.0
71,11001.4391,4.0
72,11001.4591,4.0
73,11001.4791,4.0
74,11001.4991,4.0
75,11001.5191,4.0
76,11001.5391,4.0
77,11001.5591,4.0
78,11001.5791,4.0
79,11001.5991,4.0
80,11001.6191,4.0
81,11001.6391,3.0
82,11001.6591,3.0
83,11001.6791,3.0
84,11001.6991,3.0
85,11001.7191,3.0
86,11001.7391,3.0
87,11001.7591,3.0
88,11001.7791,3.0
89,11001.7991,3.0
90,11001.8191,3.0
91,11001.8391,3.0
92,11001.8591,3.0
93,11001.8791,3.0
94,11001.8991,3.0
95,11001.9191,3.0
96,11001.9391,3.0
97,11001.9591,3.0
98,11001.9791,3.0
99,11001.9991,3.0
100,11002.0191,3.0
101,11002.0391,3.0
102,11002.0591,4.0
103,11002.0791,4.0
104,11002.0991,4.0
105,11002.1191,4.0
106,11002.1391,4.0
107,11002.1591,4.0
108,11002.1791,4.0
109,11002.1991,4.0
110,11002.2191,4.0
111,11002.2391,4.0
112,11002.2591,4.0
113,11002.2791,4.0
114,11002.2991,4.0
115,11002.3191,4.0
116,11002.3391,4.0
117,11002.3591,4.0
118,11002.3791,4.0
119,11002.3991,4.0
120,11002.4191,4.0
121,11002.4391,4.0
122,11002.4591,4.0
123,11002.4791,4.0
124,11002.4991,4.0
125,11002.5191,4.0
126,11002.5391,4.0
127,11002.5591,4.0
128,11002.5791,4.0
129,11002.5991,4.0
130,11002.6191,4.0
131,11002.6391,4.0
132,11002.6591,4.0
133,11002.6791,4.0
134,11002.6991,4.0
135,11002.7191,4.0
136,11002.7391,4.0
137,11002.7591,4.0
138,11002.7791,4.0
139,11002.7991,4.0
140,11002.8191,4.0
141,11002.8391,4.0
142,11002.8591,4.0
143,11002.8791,3.0
144,11002.8991,3.0
145,11002.9191,3.0
146,11002.9391,3.0
147,11002.9591,3.0
148,11002.9791,3.0
149,11002.9991,3.0
150,11003.0191,3.0
151,11003.0391,3.0
152,11003.0591,3.0
153,11003.0791,2.0
154,11003.0991,2.0
155,11003.1191,2.0
156,11003.1391,1.0
157,11003.1591,1.0
158,11003.1791,1.0
159,11003.1991,1.0
160,11003.2191,1.0
161,11003.2391,1.0
162,11003.2591,1.0
163,11003.2791,1.0
164,11003.2991,1.0
165,11003.3191,1.0
166,11003.3391,1.0
167,11003.3591,1.0
168,11003.3791,1.0
169,11003.3991,1.0
170,11003.4191,1.0
171,11003.4391,1.0
172,11003.4591,1.0
173,11003.4791,1.0
174,11003.4991,1.0
175,11003.5191,1.0
176,11003.5391,1.0
177,11003.5591,1.0
178,11003.5791,1.0
179,11003.5991,1.0
180,11003.6191,1.0
181,11003.6391,1.0
182,11003.6591,1.0
183,11003.6791,1.0
184,11003.6991,1.0
185,11003.7191,1.0
186,11003.7391,1.0
187,11003.7591,1.0
188,11003.7791,1.0
189,11003.7991,1.0
190,11003.8191,1.0
191,11003.8391,1.0
192,11003.8591,1.0
193,11003.8791,1.0
194,11003.8991,1.0
195,11003.9191,1.0
196,11003.9391,1.0
197,11003.9591,1.0
198,11003.9791,1.0
199,11003.9991,1.0
200,11004.0191,1.0
201,11004.0391,1.0
202,11004.0591,0.0
203,11004.0791,0.0
204,11004.0991,0.0
205,11004.1191,0.0
206,11004.1391,0.0
207,11004.1591,0.0
208,11004.1791,0.0
209,11004.1991,0.0
210,11004.2191,0.0
211,11004.2391,0.0
212,11004.2591,0.0
213,11004.2791,0.0
214,11004.2991,0.0
215,11004.3191,0.0
216,11004.3391,1.0
217,11004.3591,1.0
218,11004.3791,1.0
219,11004.3991,1.0
220,11004.4191,1.0
221,11004.4391,1.0
222,11004.4591,1.0
223,11004.4791,1.0
224,11004.4991,1.0
225,11004.5191,1.0
226,11004.5391,1.0
227,11004.5591,1.0
228,11004.5791,2.0
229,11004.5991,2.0
230,11004.6191,2.0
231,11004.6391,2.0
232,11004.6591,2.0
233,11004.6791,3.0
234,11004.6991,3.0
235,11004.7191,3.0
236,11004.7391,3.0
237,11004.7591,3.0
238,11004.7791,3.0
239,11004.7991,3.0
240,11004.8191,3.0
241,11004.8391,3.0
242,11004.8591,3.0
243,11004.8791,3.0
244,11004.8991,3.0
245,11004.9191,3.0
246,11004.9391,3.0
247,11004.9591,3.0
248,11004.9791,3.0
249,11004.9991,3.0
250,11005.0191,3.0
251,11005.0391,4.0
252,11005.0591,4.0
253,11005.0791,4.0
254,11005.0991,4.0
255,11005.1191,4.0
256,11005.1391,4.0
