spike_time,spike,lvp,lvp_phase,resp,resp_phase,plus_minus_id,prom,width,spike_x_level
12003.720749999999,74415,8.577987670898438,4,9.40835189819336,3,-1,16.820128066778505,18.0,-9.421608194655192
12003.757499999998,75150,20.936952590942383,4,7.619785308837891,3,-1,6.338314864845119,12.0,-2.9342736213125002
12005.219149999999,104383,20.43726348876953,4,3.5771355628967285,1,-1,9.61986760223659,11.0,-6.498628830439217
12005.952649999997,119053,21.386672973632812,1,3.0626165866851807,1,-1,11.085559829746332,11.0,-5.988127420200993
12010.106499999998,202130,5.496574401855469,4,7.227770805358887,1,-1,15.93929331605166,16.0,-9.04345709327341
12016.192299999999,323846,16.756223678588867,4,7.668787479400635,3,-1,24.248100831060476,17.0,-11.607560794736756
12023.494599999998,469892,16.972755432128906,4,3.2341227531433105,1,-1,10.311714064324207,11.0,-5.934979395424616
12024.234099999998,484682,25.084367752075195,1,3.9201483726501465,1,-1,8.640724630152157,11.0,-4.629764090331754
12028.616049999999,572321,16.889474868774414,4,9.33484935760498,3,-1,30.699989418693605,14.0,-15.092856959187095
12029.152899999997,583058,5.2134175300598145,4,4.0671539306640625,1,-1,5.16926582809631,12.0,-2.4809541391040977
12034.988699999998,699774,5.363324165344238,4,5.537208080291748,1,-1,15.538931170283194,17.0,-7.8023562598464835
12038.129349999997,762587,17.772258758544922,4,-1.7885633707046509,1,-1,9.000264882154761,11.0,-5.763510648662171
12044.709899999998,894198,21.56989097595215,1,4.385665416717529,1,-1,5.156484586784502,12.0,-2.6860429734727265
12048.340999999999,966820,25.63402557373047,1,4.508170127868652,1,-1,11.40595938029767,12.0,-5.896302469671019
12049.064549999997,981291,24.651304244995117,1,2.6461009979248047,1,-1,11.488131911203283,11.0,-6.558244570631613
12049.781649999999,995633,19.254667282104492,4,2.8176074028015137,1,-1,14.205619360693472,12.0,-7.184404479149041
12050.515149999997,1010303,26.183683395385742,1,2.327589273452759,1,-1,10.132085030354737,12.0,-5.92514305164254
12053.461699999998,1069234,71.3721923828125,1,9.163342475891113,3,-1,15.67755841327513,14.0,-8.279346877205436
12053.910849999998,1078217,5.379980564117432,4,5.73321533203125,1,-1,7.221752102981557,13.0,-3.4763568806639764
12059.987049999998,1199741,18.50513458251953,4,4.679676532745361,1,-1,9.886666415800919,12.0,-5.540674776646872
12061.446499999998,1228930,20.470577239990234,4,1.3475528955459595,1,-1,12.39940674635014,11.0,-6.411606780704735
12066.374399999999,1327488,5.33001184463501,4,3.6996400356292725,1,-1,8.354051782368074,12.0,-3.666624355413375
12072.333299999998,1446666,15.59028434753418,4,2.15608286857605,3,-1,20.523822515434787,16.0,-10.243069246258063
12075.965699999999,1519314,22.152860641479492,1,-1.7395615577697754,1,-1,9.218643583640805,11.0,-5.090293610899827
12081.054449999998,1621089,21.253421783447266,4,0.8575347661972046,1,-1,9.322368491920441,11.0,-4.816300886037544
12084.691199999997,1693824,17.622350692749023,4,6.958261013031006,3,-1,25.23619712228176,17.0,-12.051442465955951
12085.232399999999,1704648,5.2633867263793945,4,2.3765909671783447,1,-1,9.342346018175288,14.0,-4.351286473439058
12086.146399999998,1722928,18.5384464263916,4,5.218696594238281,1,-1,21.222536161450357,16.0,-15.314749225200023
12086.153149999998,1723063,23.468708038330078,1,-1.6660587787628174,1,-1,9.491575190309739,11.0,-5.51988377451397
12088.330999999998,1766620,20.17076301574707,4,4.31216287612915,1,-1,9.883515572617766,12.0,-5.377759328673191
12091.056399999998,1821128,5.363324165344238,4,1.274050235748291,1,-1,21.756256376828173,17.0,-10.256639113586715
12091.249549999999,1824991,18.172008514404297,4,5.978224754333496,1,-1,10.029081957518759,12.0,-4.642149663403762
12091.984199999999,1839684,22.58592414855957,1,2.8421082496643066,1,-1,11.190241080535563,11.0,-6.311869738785528
12097.588449999997,1951769,5.496574401855469,4,2.3765909671783447,1,-1,10.53454827932988,12.0,-4.9310714016911055
12103.485399999998,2069708,5.446605682373047,4,8.452816009521484,3,-1,20.443905141292863,17.0,-10.164300291961286
12110.043799999998,2200876,5.396636962890625,4,0.7105292677879333,1,-1,28.061357456920554,15.0,-13.791342216017014
12111.706949999998,2234139,29.24843978881836,1,4.336663722991943,1,-1,11.111831017185786,11.0,-5.781334442759978
