spike_time,spike,lvp,lvp_phase,resp,resp_phase,plus_minus_id,prom,width,spike_x_level
11000.037099999998,742,16.952754974365234,1,0.9181755781173706,1,-1,8.460312657140914,31.0,-3.685294283179448
11000.142649999998,2853,134.34410095214844,2,0.5150748491287231,1,-1,2.070706996942654,15.0,-2.789490819804568
11000.453999999998,9080,-1.8969513177871704,4,4.904394626617432,2,-1,3.132906014667868,22.0,-2.7569332645598967
11000.465799999998,9316,-1.9768229722976685,4,4.9715776443481445,2,-1,5.950771241982095,30.0,-3.0839948453227946
11000.609999999999,12200,131.3888397216797,2,6.1584858894348145,2,-1,1.2037476767981756,15.0,-2.2878452292771527
11000.671349999999,13427,136.1012725830078,2,6.763136863708496,2,-1,8.087986851448864,49.0,-3.6449502068181467
11000.939149999998,18783,4.353004455566406,4,10.480622291564941,2,-1,62.3096516692767,13.0,-32.758460792217605
11000.955899999999,19118,-0.09983942657709122,4,10.726961135864258,2,-1,3.4004705282192704,13.0,-2.9128504392430643
11000.976549999998,19531,-1.9368871450424194,4,10.97330093383789,2,-1,1.6830739261786682,16.0,-2.7362732754853845
11001.022299999999,20446,0.11980758607387543,4,11.488373756408691,2,-1,2.041469384685669,27.0,-2.4022914107038997
11001.098799999998,21976,90.15511322021484,1,12.675281524658203,2,-1,1.9173983627771507,19.0,-2.3689116683715175
11001.230699999998,24614,143.03013610839844,2,14.601207733154297,2,-1,14.601262662097934,14.0,-8.202726503921008
11001.437749999997,28755,14.097344398498535,4,18.587427139282227,2,-1,5.942310483240266,24.0,-3.1196495081306477
11001.530149999999,30603,0.039935942739248276,4,20.558141708374023,2,-1,3.762700971020143,14.0,-3.5278721181265276
11001.802149999998,36043,148.56124877929688,2,16.616710662841797,3,-1,1.1873669609701873,17.0,-2.4084460559183984
11002.075749999998,41515,1.717240333557129,4,7.9052557945251465,3,-1,3.0544740340442793,14.0,-3.995635119389772
11002.201349999998,44027,135.52220153808594,2,6.091302394866943,3,-1,6.495410554999752,15.0,-2.970964319002477
11002.605949999997,52119,12.819397926330566,4,2.7993125915527344,1,-1,3.342450286006012,15.0,-3.1998740517016238
11002.652449999998,53049,111.720458984375,1,2.754523515701294,1,-1,2.17425432348345,12.0,-3.1930043008771634
11002.686849999998,53737,131.6284637451172,2,2.4186062812805176,1,-1,7.257006872171631,30.0,-4.068145790253068
11002.917049999998,58341,92.71100616455078,3,1.612404704093933,1,-1,6.723706001237729,14.0,-7.705823952649075
11003.140899999999,62818,53.4940299987793,1,1.1869094371795654,1,-1,6.2776011176720115,38.0,-3.0538396484927888
11003.466399999998,69328,34.20502853393555,3,0.9629645943641663,1,-1,4.924402539993419,14.0,-2.3070526377221903
11003.600849999999,72017,1.1980746984481812,4,0.9181755781173706,1,-1,8.582845006603339,18.0,-4.160374032557611
11003.943449999999,78869,112.01997375488281,3,0.6494417190551758,1,-1,3.521648170786094,11.0,-1.9506108978254422
11004.055699999999,81114,-1.8170796632766724,4,1.4556432962417603,1,-1,4.870139345269082,20.0,-4.356020511040354
11004.154899999998,83098,25.71866798400879,1,1.0749369859695435,1,-1,7.09078234398201,35.0,-2.8692439846663724
11004.225199999999,84504,131.46871948242188,2,0.7390196919441223,1,-1,3.455336089776538,14.0,-2.2525911401430547
11004.437299999998,88746,144.16830444335938,2,0.8733866214752197,1,-1,6.069496502348475,24.0,-3.5541929686868876
11004.567649999999,91353,-1.8969513177871704,4,1.545221209526062,1,-1,3.647573177368951,14.0,-3.704291489779351
11004.645149999998,92903,4.133357524871826,4,0.9629645943641663,1,-1,10.595002993389853,45.0,-3.7359862662352277
11005.085349999998,101707,-1.7771438360214233,4,1.5228267908096313,1,-1,2.0025748537265864,14.0,-3.3251734726903743
11005.114749999999,102295,-0.31948643922805786,4,1.3436708450317383,1,-1,5.832491120668319,21.0,-3.401915286233624
11005.206549999999,104131,93.6894302368164,1,0.940570056438446,1,-1,8.065558470158358,15.0,-3.4341402489320196
11005.216149999998,104323,111.76039123535156,1,0.9629645943641663,1,-1,4.223483305829094,15.0,-3.077997399483694
11005.246549999998,104931,132.2274932861328,2,0.8509921431541443,1,-1,4.661706013114413,17.0,-2.8198642596515167
11005.601999999999,112040,-1.876983404159546,4,1.5228267908096313,1,-1,2.609017469476454,13.0,-3.7590616171653783
11005.784099999999,115682,133.345703125,2,0.6942307353019714,1,-1,2.6093381114122307,14.0,-3.0713593279960785
11006.057949999999,121159,12.32020092010498,4,1.0077534914016724,1,-1,3.3572866609918264,24.0,-3.0413186871427333
11006.116049999999,122321,-1.8969513177871704,4,1.3212764263153076,1,-1,1.6546356047970634,14.0,-2.3338724896163074
11006.141549999998,122831,0.0798717588186264,4,1.2540929317474365,1,-1,1.6519023383844742,18.0,-2.4555790121171617
11006.203199999998,124064,26.537351608276367,1,0.8957810997962952,1,-1,9.283787617528986,27.0,-3.9365388488333037
11006.267599999997,125352,132.50704956054688,2,0.8285976648330688,1,-1,4.199940017611393,20.0,-2.481043971483496
