animal,channel,entropy_mean,entropy_std,animal_type
pig1692chronicPVCRTX,12,0.316095873,0.095350844,HF
pig1692chronicPVCRTX,13,0.271956473,0.074175657,HF
pig1692chronicPVCRTX,14,0.344533911,0.083814555,HF
pig1692chronicPVCRTX,15,0.346491888,0.097351363,HF
pig1692chronicPVCRTX,16,0.313556954,0.066312229,HF
pig1692chronicPVCRTX,2,0.364154058,0.082197141,HF
pig1692chronicPVCRTX,3,0.359549196,0.090231899,HF
pig1692chronicPVCRTX,4,0.343931506,0.063103698,HF
pig1692chronicPVCRTX,5,0.292669364,0.088172333,HF
pig1692chronicPVCRTX,6,0.344016286,0.062126962,HF
pig1692chronicPVCRTX,7,0.330318791,0.07260278,HF
pig1692chronicPVCRTX,8,0.337156811,0.063922192,HF
pig1692chronicPVCRTX,9,0.339876258,0.078867225,HF
pig1767pvc,10,0.371410305,0.081200295,HF
pig1767pvc,11,0.413327848,0.074614907,HF
pig1767pvc,12,0.37786451,0.083392509,HF
pig1767pvc,13,0.346869682,0.052862525,HF
pig1767pvc,14,0.343175535,0.068406739,HF
pig1767pvc,15,0.344028883,0.063984514,HF
pig1767pvc,16,0.397429385,0.075318405,HF
pig1767pvc,2,0.361847126,0.082299056,HF
pig1767pvc,3,0.36296851,0.065371656,HF
pig1767pvc,4,0.384694099,0.06743467,HF
pig1767pvc,5,0.354915694,0.057409737,HF
pig1767pvc,6,0.359226039,0.063405963,HF
pig1767pvc,7,0.385181491,0.060274952,HF
pig1767pvc,8,0.386503765,0.060060144,HF
pig1774pvc,10,0.369667433,0.114903315,HF
pig1774pvc,11,0.479299916,0.101116654,HF
pig1774pvc,12,0.499604896,0.092396448,HF
pig1774pvc,13,0.475355722,0.070180386,HF
pig1774pvc,14,0.47884683,0.106022397,HF
pig1774pvc,15,0.497417211,0.091444592,HF
pig1774pvc,16,0.446787576,0.115024215,HF
pig1774pvc,2,0.429185802,0.085879235,HF
pig1774pvc,3,0.490749699,0.090583428,HF
pig1774pvc,4,0.413614403,0.088816928,HF
pig1774pvc,5,0.459630217,0.088793729,HF
pig1774pvc,6,0.461587566,0.093273598,HF
pig1774pvc,7,0.400417658,0.076655924,HF
pig1774pvc,8,0.493164239,0.080743967,HF
pig1841pvc,1,0.43059668,0.061747624,HF
pig1841pvc,10,0.454319451,0.053272495,HF
pig1841pvc,15,0.443578461,0.073114251,HF
pig1841pvc,16,0.460062069,0.04970234,HF
pig1841pvc,2,0.415169242,0.069704625,HF
pig1841pvc,3,0.42126357,0.085238426,HF
pig1841pvc,4,0.424775928,0.079655991,HF
pig1841pvc,5,0.394908354,0.093110393,HF
pig1841pvc,6,0.431015784,0.065035313,HF
pig1841pvc,7,0.401015745,0.080281587,HF
pig1843pvc,1,0.336923929,0.066730686,HF
pig1843pvc,2,0.331430656,0.066933106,HF
pig1843pvc,3,0.313428077,0.057362943,HF
pig1843pvc,4,0.195279185,0.062570135,HF
pig1843pvc,5,0.356202587,0.07451633,HF
pig1843pvc,6,0.328972448,0.090665267,HF
