animal,mean,std,lower,upper,ci_width,state_threshold,exceedance
pig1720,0.04017740610755259,0.0016553158633518994,0.03747698193936515,0.042824809083541374,0.005347827144176226,70,SpikerateCoact_output_1min_20minbuff_0p75
pig1721,0.0898452189445359,0.0028178294434139245,0.08520926438307373,0.09435531048622986,0.009146046103156127,70,SpikerateCoact_output_1min_20minbuff_0p75
pig1723,0.14139548563338716,0.003674678339532476,0.13528643496640147,0.14755438575501983,0.012267950788618365,70,SpikerateCoact_output_1min_20minbuff_0p75
pig1740,0.2183733380840592,0.0035227241968057567,0.2127621808076171,0.22410673539799114,0.011344554590374034,70,SpikerateCoact_output_1min_20minbuff_0p75
pig1741,0.16414094632566725,0.002631460564976308,0.1597512219636064,0.1684998665782206,0.00874864461461422,70,SpikerateCoact_output_1min_20minbuff_0p75
pig1742,0.14670004913200121,0.0033065913931789263,0.14100474942679325,0.15214952505732057,0.01114477563052732,70,SpikerateCoact_output_1min_20minbuff_0p75
