animal,mean,std,lower,upper,ci_width,state_threshold,exceedance
N1,0.022832233,0.001274261,0.020744366,0.024963559,0.004219193,80,SpikerateCoact_output_1min_20minbuff_0p75
N2,0.058932422,0.002314688,0.054913569,0.062745046,0.007831477,80,SpikerateCoact_output_1min_20minbuff_0p75
N3,0.06962244,0.002557739,0.065696596,0.07407629,0.008379693,80,SpikerateCoact_output_1min_20minbuff_0p75
N4,0.154800369,0.003148725,0.149469006,0.159726982,0.010257976,80,SpikerateCoact_output_1min_20minbuff_0p75
N5,0.107691121,0.002201547,0.104111877,0.11133188,0.007220002,80,SpikerateCoact_output_1min_20minbuff_0p75
N6,0.084722486,0.00260567,0.080494595,0.089014903,0.008520308,80,SpikerateCoact_output_1min_20minbuff_0p75
