animal,mean,std,lower,upper,ci_width,state_threshold,exceedance
pig1666,0.05797779365690101,0.0027352895560027904,0.053454625405375704,0.06224921673171001,0.008794591326334304,70,SpikestdCoact_output_1min_20minbuff_0p75
pig1670,0.9266536562650649,0.007174727367555965,0.914834858873512,0.9377657431280101,0.022930884254498074,70,SpikestdCoact_output_1min_20minbuff_0p75
pig1690pvccmrtx,0.05162988388619238,0.0026248094990790425,0.04719637446032554,0.0559183180928374,0.008721943632511858,70,SpikestdCoact_output_1min_20minbuff_0p75
pig1692chronicPVCRTX,0.5352779012894621,0.0059221993649515164,0.5257310127252325,0.5452211564928328,0.019490143767600276,70,SpikestdCoact_output_1min_20minbuff_0p75
pig1767pvc,0.04795684640097247,0.001959343030021308,0.0447165060345576,0.0513154467309195,0.006598940696361896,70,SpikestdCoact_output_1min_20minbuff_0p75
pig1768,0.7833355266364476,0.009921094901150741,0.7659380026319634,0.799093434712677,0.03315543208071359,70,SpikestdCoact_output_1min_20minbuff_0p75
pig1770,0.7981274495025625,0.005118696967656366,0.789678801125515,0.80651442066124,0.016835619535724988,70,SpikestdCoact_output_1min_20minbuff_0p75
pig1774pvc,0.4315957764067771,0.00550727745412935,0.4228252968257814,0.44099830385267746,0.01817300702689606,70,SpikestdCoact_output_1min_20minbuff_0p75
pig1841pvc,0.4165424124513619,0.0058533617104181025,0.40689271817676487,0.42668148971650915,0.019788771539744288,70,SpikestdCoact_output_1min_20minbuff_0p75
pig1843pvc,0.4160639254738194,0.005593971872486577,0.4067887354106435,0.42542563443623505,0.01863689902559157,70,SpikestdCoact_output_1min_20minbuff_0p75
pig1844,0.20964072578815565,0.0037308327025355904,0.20365792329927906,0.21596328849457208,0.012305365195293017,70,SpikestdCoact_output_1min_20minbuff_0p75
