animal,mean,std,lower,upper,ci_width,state_threshold,exceedance
N1,0.018940942,0.001136333,0.017087732,0.020814686,0.003726954,90,SpikestdCoact_output_1min_20minbuff_0p9
N2,0.041042439,0.001908712,0.037852138,0.044098673,0.006246535,90,SpikestdCoact_output_1min_20minbuff_0p9
N3,0.028551674,0.001634598,0.025822018,0.031205759,0.005383741,90,SpikestdCoact_output_1min_20minbuff_0p9
N4,0.05792514,0.001872859,0.054872195,0.060984196,0.006112002,90,SpikestdCoact_output_1min_20minbuff_0p9
N5,0.039584252,0.001368392,0.037279448,0.041765932,0.004486484,90,SpikestdCoact_output_1min_20minbuff_0p9
N6,0.030432443,0.001568022,0.027755486,0.033000328,0.005244841,90,SpikestdCoact_output_1min_20minbuff_0p9
