animal,mean,std,lower,upper,ci_width,state_threshold,exceedance
N1,0.024586433,0.00131815,0.022639487,0.026932515,0.004293029,70,SpikestdCoact_output_1min_20minbuff_0p75
N2,0.052067946,0.002119313,0.048760266,0.055472961,0.006712694,70,SpikestdCoact_output_1min_20minbuff_0p75
N3,0.060261909,0.002342929,0.056429583,0.064111384,0.007681801,70,SpikestdCoact_output_1min_20minbuff_0p75
N4,0.156314923,0.003012605,0.151509735,0.161428156,0.009918421,70,SpikestdCoact_output_1min_20minbuff_0p75
N5,0.119237805,0.00233555,0.115536224,0.123128558,0.007592334,70,SpikestdCoact_output_1min_20minbuff_0p75
N6,0.079211595,0.002335177,0.075499509,0.083033082,0.007533574,70,SpikestdCoact_output_1min_20minbuff_0p75
