animal,mean,std,lower,upper,ci_width,state_threshold,exceedance
pig1666,0.04586338152036498,0.00259668720891007,0.04149947782114,0.050294069147474314,0.008794591326334311,60,SpikerateCoact_output_1min_20minbuff_0p9
pig1670,0.9025246768175366,0.007327833573592391,0.8905836934004875,0.9147148333081914,0.02413113990770388,60,SpikerateCoact_output_1min_20minbuff_0p9
pig1690pvccmrtx,0.05061207798128234,0.0025114818376840713,0.0465259714140141,0.054838969188275986,0.008312997774261886,60,SpikerateCoact_output_1min_20minbuff_0p9
pig1692chronicPVCRTX,0.4083559889051219,0.0057747589477212605,0.39921975904634865,0.4182917275402825,0.019071968493933833,60,SpikerateCoact_output_1min_20minbuff_0p9
pig1767pvc,0.1536288964139967,0.003429239587844195,0.14769471216462618,0.1593296865503169,0.011634974385690722,60,SpikerateCoact_output_1min_20minbuff_0p9
pig1768,0.7866167080957253,0.009782570805503111,0.7705804942243015,0.8030048252668516,0.03242433104255005,60,SpikerateCoact_output_1min_20minbuff_0p9
pig1770,0.7301749196060697,0.0050498426386467125,0.7222232690181891,0.7387479901517435,0.01652472113355441,60,SpikerateCoact_output_1min_20minbuff_0p9
pig1774pvc,0.30659913142345896,0.004733663862050938,0.2987828745037371,0.3143464241113865,0.01556354960764944,60,SpikerateCoact_output_1min_20minbuff_0p9
pig1841pvc,0.40783546414674826,0.005740480640597129,0.39877153974430246,0.4175708727070595,0.018799332962757043,60,SpikerateCoact_output_1min_20minbuff_0p9
pig1843pvc,0.47479772994967334,0.006174320188547697,0.46461077203126666,0.485169718385266,0.020558946353999352,60,SpikerateCoact_output_1min_20minbuff_0p9
pig1844,0.14068847907293894,0.0032388516935101543,0.13552418983540834,0.1462604145024425,0.010736224667034167,60,SpikerateCoact_output_1min_20minbuff_0p9
