animal,mean,std,lower,upper,ci_width,state_threshold,exceedance
pig1666,0.0,0.0,0.0,0.0,0.0,90,SpikerateCoact_output_1min_20minbuff_0p6
pig1670,0.7747368181365369,0.006915097483279775,0.7634826210042521,0.7860534285627885,0.022570807558536354,90,SpikerateCoact_output_1min_20minbuff_0p6
pig1690pvccmrtx,0.013729854388458336,0.001374336055679727,0.011530932396556809,0.01595559250221233,0.0044246601056555195,90,SpikerateCoact_output_1min_20minbuff_0p6
pig1692chronicPVCRTX,0.3849322450189502,0.00565636341028205,0.37539964852103586,0.3942492959834001,0.018849647462364227,90,SpikerateCoact_output_1min_20minbuff_0p6
pig1767pvc,0.1379321003733611,0.0032455085492009796,0.13267343926369712,0.1433533038117565,0.010679864548059387,90,SpikerateCoact_output_1min_20minbuff_0p6
pig1768,0.6541911585514449,0.009792392814153667,0.6382512063167127,0.6709070526880145,0.03265584637130181,90,SpikerateCoact_output_1min_20minbuff_0p6
pig1770,0.5914987187217365,0.004849307545972739,0.5834840719525676,0.5999397045523063,0.0164556325997387,90,SpikerateCoact_output_1min_20minbuff_0p6
pig1774pvc,0.23623716240144638,0.004106349557522179,0.22925481351698943,0.24314551452908612,0.01389070101209669,90,SpikerateCoact_output_1min_20minbuff_0p6
pig1841pvc,0.48663735408560316,0.005929873124920601,0.47715397443023905,0.49660922734852697,0.019455252918287924,90,SpikerateCoact_output_1min_20minbuff_0p6
pig1843pvc,0.5216011350251631,0.006397623682106299,0.5117196702002355,0.532069814755327,0.020350144555091543,90,SpikerateCoact_output_1min_20minbuff_0p6
pig1844,0.10079035579261937,0.002785599814741276,0.09613050394175217,0.1052975880805275,0.00916708413877533,90,SpikerateCoact_output_1min_20minbuff_0p6
