animal,mean,std,lower,upper,ci_width,state_threshold,exceedance
N1,0.030115404,0.001435325,0.027635714,0.032558106,0.004922392,50,SpikerateCoact_output_1min_20minbuff_0p9
N2,0.036982471,0.001772853,0.034029631,0.039996471,0.005966839,50,SpikerateCoact_output_1min_20minbuff_0p9
N3,0.108657056,0.00324424,0.103487468,0.113861139,0.010373672,50,SpikerateCoact_output_1min_20minbuff_0p9
N4,0.169308156,0.00320729,0.164209117,0.17459952,0.010390403,50,SpikerateCoact_output_1min_20minbuff_0p9
N5,0.128834395,0.002304401,0.125066535,0.132605679,0.007539144,50,SpikerateCoact_output_1min_20minbuff_0p9
N6,0.131436947,0.003155592,0.126428922,0.136509171,0.010080249,50,SpikerateCoact_output_1min_20minbuff_0p9
