animal,mean,std,lower,upper,ci_width,state_threshold,exceedance
H1,0.04532691144945859,0.0024027183447885157,0.04136206233166603,0.04946957621063047,0.00810751387896444,90,SpikestdCoact_output_1min_20minbuff_0p6
H2,0.6789048060176209,0.006970186211573137,0.6674561674695166,0.6902670261586942,0.022810858689177538,90,SpikestdCoact_output_1min_20minbuff_0p6
H3,0.03925652302164061,0.002284262642036157,0.035531361454506444,0.04290579496393231,0.007374433509425869,90,SpikestdCoact_output_1min_20minbuff_0p6
H4,0.32894513963878125,0.00537464476610429,0.3200364183023143,0.33814499565944656,0.018108577357132283,90,SpikestdCoact_output_1min_20minbuff_0p6
H5,0.02671329339237648,0.0015723987749055957,0.02422505860901276,0.029347920465398972,0.005122861856386211,90,SpikestdCoact_output_1min_20minbuff_0p6
H6,0.5165204464590338,0.00915155608925291,0.5020227128722521,0.5312789394160937,0.029256226543841635,90,SpikestdCoact_output_1min_20minbuff_0p6
H7,0.5980760727565069,0.0048576254245401365,0.5902673098181087,0.6061608129836197,0.01589350316551097,90,SpikestdCoact_output_1min_20minbuff_0p6
H8,0.2713847831354495,0.004422756614549015,0.26439395351437994,0.2784663845967456,0.014072431082365666,90,SpikestdCoact_output_1min_20minbuff_0p6
H9,0.31512784880489153,0.005475094593078512,0.3061645358532518,0.3245136186770428,0.018349082823790996,90,SpikestdCoact_output_1min_20minbuff_0p6
H10,0.43324263839811533,0.005836583616803208,0.42391583681336326,0.44330763465039075,0.01939179783702749,90,SpikestdCoact_output_1min_20minbuff_0p6
H11,0.12972018678040967,0.003169913806798587,0.1243750334504113,0.1347809127430752,0.010405879292663886,90,SpikestdCoact_output_1min_20minbuff_0p6
