animal,mean,std,lower,upper,ci_width,state_threshold,exceedance
H1,0.015034216456879022,0.0015500646960340738,0.012642225031605564,0.017726598142142586,0.005084373110537022,70,SpikerateCoact_output_1min_20minbuff_0p9
H2,0.745062417520067,0.006909029604411144,0.7338303050918011,0.7567671906245652,0.022936885532764073,70,SpikerateCoact_output_1min_20minbuff_0p9
H3,0.03668847711244,0.002164889532940511,0.03311791048778525,0.04035826338794883,0.007240352900163581,70,SpikerateCoact_output_1min_20minbuff_0p9
H4,0.31240445489000407,0.005128566056072151,0.3044686527345487,0.3209892227233268,0.0165205699887781,70,SpikerateCoact_output_1min_20minbuff_0p9
H5,0.08144369193366327,0.0024943494815272867,0.0775375531822523,0.08561691412694276,0.008079360944690459,70,SpikerateCoact_output_1min_20minbuff_0p9
H6,0.671843593117902,0.009807794078750291,0.6557976312326361,0.6874908612370227,0.03169323000438662,70,SpikerateCoact_output_1min_20minbuff_0p9
H7,0.638129208119787,0.004864058635128598,0.6301502361571701,0.6462918299668375,0.0161415938096674,70,SpikerateCoact_output_1min_20minbuff_0p9
H8,0.24710182475629527,0.004325460404497341,0.24025647238634878,0.25396544332817655,0.01370897094182777,70,SpikerateCoact_output_1min_20minbuff_0p9
H9,0.34258599221789876,0.005398756992593698,0.33407448582545857,0.3513118399110617,0.017237354085603118,70,SpikerateCoact_output_1min_20minbuff_0p9
H10,0.3282304315237177,0.005162064753397765,0.31973444694292746,0.3364439447478316,0.01670949780490416,70,SpikerateCoact_output_1min_20minbuff_0p9
H11,0.07567271042506213,0.002411572430236022,0.07185011892553642,0.07978666654478245,0.007936547619246032,70,SpikerateCoact_output_1min_20minbuff_0p9
