animal,mean,std,lower,upper,ci_width,state_threshold,exceedance
N1,0.215332141,0.003718549,0.209342293,0.22108923,0.011746937,60,SpikerateCoact_output_1min_20minbuff_0p6
N2,0.379997798,0.005152235,0.371808684,0.388870115,0.017061432,60,SpikerateCoact_output_1min_20minbuff_0p6
N3,0.494270702,0.005739472,0.485030209,0.503579191,0.018548982,60,SpikerateCoact_output_1min_20minbuff_0p6
N4,0.48615902,0.004940473,0.477958547,0.494257218,0.016298672,60,SpikerateCoact_output_1min_20minbuff_0p6
N5,0.44096203,0.004018753,0.434217688,0.447679454,0.013461766,60,SpikerateCoact_output_1min_20minbuff_0p6
N6,0.567807157,0.005504977,0.558544874,0.576727809,0.018182935,60,SpikerateCoact_output_1min_20minbuff_0p6
