animal,mean,std,lower,upper,ci_width,state_threshold,exceedance
pig1666,0.3211388995767603,0.0059456618171774235,0.3115140438630243,0.3310407849172759,0.019526741054251617,50,SpikerateCoact_output_1min_20minbuff_0p75
pig1670,1.249985125531754,0.006212872735186475,1.2396240386310196,1.2600403872920514,0.020416348661031813,50,SpikerateCoact_output_1min_20minbuff_0p75
pig1690pvccmrtx,0.21456852859939393,0.0050169874787551905,0.20634335362419887,0.22284867662438654,0.01650532300018767,50,SpikerateCoact_output_1min_20minbuff_0p75
pig1692chronicPVCRTX,0.9584262846979611,0.006523992968663985,0.9479345317495609,0.9693302843591862,0.02139575260962534,50,SpikerateCoact_output_1min_20minbuff_0p75
pig1767pvc,0.6941655813145784,0.006026046180013491,0.6840323000781452,0.7040027785013457,0.019970478423200544,50,SpikerateCoact_output_1min_20minbuff_0p75
pig1768,1.092474777014183,0.009546902126742047,1.076424428522688,1.108105473509772,0.031681044987083906,50,SpikerateCoact_output_1min_20minbuff_0p75
pig1770,1.00859185006532,0.005039505694272797,1.0005275851673199,1.0169863581549592,0.016458772987639314,50,SpikerateCoact_output_1min_20minbuff_0p75
pig1774pvc,0.626673221375184,0.006083449755344795,0.6163864606437904,0.6371735848353246,0.020787124191534168,50,SpikerateCoact_output_1min_20minbuff_0p75
pig1841pvc,0.9368867148415787,0.00672348172080537,0.9261812117843247,0.9477543079488605,0.021573096164535843,50,SpikerateCoact_output_1min_20minbuff_0p75
pig1843pvc,0.9315823964021841,0.00649420706704932,0.9207623942606273,0.9421779633793766,0.02141556911874931,50,SpikerateCoact_output_1min_20minbuff_0p75
pig1844,0.3462320963554672,0.004877490844027913,0.3382736633551691,0.3547166043644499,0.016442941009280787,50,SpikerateCoact_output_1min_20minbuff_0p75
