animal,mean,std,lower,upper,ci_width,state_threshold,exceedance
pig1666,0.05852759303028638,0.0028034919045135318,0.05386687187379762,0.06307370966855384,0.009206837794756222,80,SpikestdCoact_output_1min_20minbuff_0p6
pig1670,0.9549642063827969,0.0073734884613574445,0.9425607644625675,0.9669259542226466,0.024365189760079065,80,SpikestdCoact_output_1min_20minbuff_0p6
pig1690pvccmrtx,0.03940360945000134,0.002233879524891427,0.03579952267303102,0.04304657960365771,0.0072470569306266885,80,SpikestdCoact_output_1min_20minbuff_0p6
pig1692chronicPVCRTX,0.5230586080586082,0.006217702787815107,0.5128046327468294,0.5330464333354508,0.02024180058862135,80,SpikestdCoact_output_1min_20minbuff_0p6
pig1767pvc,0.05474255448467483,0.0021436661138841736,0.0513154467309195,0.05835286967092124,0.007037422940001738,80,SpikestdCoact_output_1min_20minbuff_0p6
pig1768,0.7323785153774915,0.009914661690322228,0.7162231320368473,0.7479285470585365,0.03170541502168922,80,SpikestdCoact_output_1min_20minbuff_0p6
pig1770,0.8206014470907446,0.005203781400626644,0.811787131946538,0.8291252135463772,0.017338081599839295,80,SpikestdCoact_output_1min_20minbuff_0p6
pig1774pvc,0.4289851074537287,0.0055187729779171074,0.4198384000298223,0.43764794691618053,0.01780954688635822,80,SpikestdCoact_output_1min_20minbuff_0p6
pig1841pvc,0.4013193996664815,0.00568631435127942,0.39210672595886603,0.41101167315175097,0.018904947192884936,80,SpikestdCoact_output_1min_20minbuff_0p6
pig1843pvc,0.4701208908876753,0.005961640497429221,0.46011350251632926,0.4797194560445443,0.019605953528215037,80,SpikestdCoact_output_1min_20minbuff_0p6
pig1844,0.19473405594238385,0.003713019897732958,0.18879238145261637,0.20077153059071873,0.011979149138102357,80,SpikestdCoact_output_1min_20minbuff_0p6
