animal,mean,std,lower,upper,ci_width,state_threshold,exceedance
pig1666,0.0,0.0,0.0,0.0,0.0,90,SpikerateCoact_output_1min_20minbuff_0p75
pig1670,0.6241128953976425,0.006794491426618182,0.6123704342656334,0.6352953172418655,0.022924882976232075,90,SpikerateCoact_output_1min_20minbuff_0p75
pig1690pvccmrtx,0.009199002440267088,0.001124218823557382,0.007374433509425866,0.011128690568769943,0.003754257059344077,90,SpikerateCoact_output_1min_20minbuff_0p75
pig1692chronicPVCRTX,0.29641936098583505,0.005097482518518067,0.288270977577336,0.30479154756611404,0.016520569988778044,90,SpikerateCoact_output_1min_20minbuff_0p75
pig1767pvc,0.08448589042285316,0.0026427810115543684,0.08022922636103151,0.08865589997395153,0.008426673612920016,90,SpikerateCoact_output_1min_20minbuff_0p75
pig1768,0.5200891943266558,0.009117227127770666,0.5059097333918212,0.5356533606277719,0.029743627235950698,90,SpikerateCoact_output_1min_20minbuff_0p75
pig1770,0.4417019646266707,0.004345764769512599,0.4346893528288614,0.4485761481258164,0.013886795296955023,90,SpikerateCoact_output_1min_20minbuff_0p75
pig1774pvc,0.1818003392294645,0.003827558641210156,0.17548601144433468,0.18779239902331735,0.01230638757898267,90,SpikerateCoact_output_1min_20minbuff_0p75
pig1841pvc,0.3537341856586992,0.005593108363499175,0.3441912173429683,0.36264591439688715,0.018454697053918834,90,SpikerateCoact_output_1min_20minbuff_0p75
pig1843pvc,0.4210269836170895,0.005707787707126991,0.41148945283220895,0.4307741728236427,0.019284719991433774,90,SpikerateCoact_output_1min_20minbuff_0p75
pig1844,0.05078870182352828,0.001992071750431183,0.047569733909320656,0.05401559802672079,0.006445864117400134,90,SpikerateCoact_output_1min_20minbuff_0p75
