animal,mean,std,lower,upper,ci_width,state_threshold,exceedance
H1,0.024631039410762383,0.0018122231329624448,0.021711647336887817,0.02762051338426868,0.005908866047380862,90,SpikestdCoact_output_1min_20minbuff_0p9
H2,0.2675641108773502,0.0054776766230633265,0.25901516996182616,0.27665892806395237,0.017643758102126206,90,SpikestdCoact_output_1min_20minbuff_0p9
H3,0.036731919229840974,0.002190295640973719,0.03324528706658443,0.04035826338794883,0.0071129763213644,90,SpikestdCoact_output_1min_20minbuff_0p9
H4,0.1903670414364056,0.004160240461161417,0.183467784623854,0.19712464799170004,0.01365686336784605,90,SpikestdCoact_output_1min_20minbuff_0p9
H5,0.024350785794911865,0.0014302823577042082,0.022054354432577923,0.02674307545367717,0.004688721021099247,90,SpikestdCoact_output_1min_20minbuff_0p9
H6,0.19185431593312857,0.0063158459265011384,0.18180045815665052,0.202039771896476,0.020239313739825487,90,SpikestdCoact_output_1min_20minbuff_0p9
H7,0.25094324690985825,0.003613073955994068,0.2449502562556527,0.256883730278364,0.011933474022711277,90,SpikestdCoact_output_1min_20minbuff_0p9
H8,0.1274001416562599,0.0032525826048115415,0.12189893944194888,0.1328027436580865,0.010903804216137625,90,SpikestdCoact_output_1min_20minbuff_0p9
H9,0.07967059477487493,0.002916798330217891,0.07493051695386325,0.08449138410227905,0.009560867148415794,90,SpikestdCoact_output_1min_20minbuff_0p9
H10,0.1872129778348859,0.00426353281352444,0.18042616982546308,0.19413213406146265,0.013705964235999568,90,SpikestdCoact_output_1min_20minbuff_0p9
H11,0.01525510162938886,0.001108864021989327,0.013461574005589005,0.017095373123662112,0.003633799118073107,90,SpikestdCoact_output_1min_20minbuff_0p9
