animal,mean,std,lower,upper,ci_width,state_threshold,exceedance
pig1720,0.020274417866238747,0.0012014055093178923,0.01821284984012679,0.022361722969730963,0.004148873129604172,50,SpikestdCoact_output_1min_20minbuff_0p9
pig1721,0.05253587707431359,0.002124856284795316,0.049039961776351865,0.056312047362959174,0.007272085586607309,50,SpikestdCoact_output_1min_20minbuff_0p9
pig1723,0.0648142609319854,0.0024905657596971963,0.06071663576000478,0.0687922474128133,0.008075611652808519,50,SpikestdCoact_output_1min_20minbuff_0p9
pig1740,0.14714420406100884,0.00295413026692356,0.14206329690274475,0.15191720214706247,0.009853905244317729,50,SpikestdCoact_output_1min_20minbuff_0p9
pig1741,0.10160407128872087,0.002165784462061259,0.098052810736196,0.10518030814625179,0.007127497410055791,50,SpikestdCoact_output_1min_20minbuff_0p9
pig1742,0.07753365542089745,0.0023798014646156307,0.07353013429413686,0.08147723550605956,0.0079471012119227,50,SpikestdCoact_output_1min_20minbuff_0p9
