animal,mean,std,lower,upper,ci_width,state_threshold,exceedance
N1,0.019366166,0.001138879,0.017439331,0.021306925,0.003867594,80,SpikestdCoact_output_1min_20minbuff_0p9
N2,0.044528845,0.002016308,0.041208485,0.047921179,0.006712694,80,SpikestdCoact_output_1min_20minbuff_0p9
N3,0.028822755,0.001642378,0.026121114,0.03150984,0.005388726,80,SpikestdCoact_output_1min_20minbuff_0p9
N4,0.088866198,0.002396632,0.085157164,0.092902428,0.007745265,80,SpikestdCoact_output_1min_20minbuff_0p9
N5,0.060902916,0.001605471,0.058321985,0.063458316,0.005136331,80,SpikestdCoact_output_1min_20minbuff_0p9
N6,0.046904111,0.001911485,0.043805274,0.050036849,0.006231575,80,SpikestdCoact_output_1min_20minbuff_0p9
