animal,mean,std,lower,upper,ci_width,state_threshold,exceedance
N1,0.060524886,0.00198586,0.057240385,0.063920774,0.006680389,60,SpikestdCoact_output_1min_20minbuff_0p6
N2,0.136698521,0.003282,0.131270468,0.141992133,0.010721665,60,SpikestdCoact_output_1min_20minbuff_0p6
N3,0.153763933,0.003685294,0.147748799,0.159622939,0.01187414,60,SpikestdCoact_output_1min_20minbuff_0p6
N4,0.353445116,0.004309966,0.346686329,0.36081524,0.014128911,60,SpikestdCoact_output_1min_20minbuff_0p6
N5,0.297541889,0.003378199,0.292174204,0.303140652,0.010966448,60,SpikestdCoact_output_1min_20minbuff_0p6
N6,0.124033655,0.003045872,0.119059122,0.128971503,0.009912381,60,SpikestdCoact_output_1min_20minbuff_0p6
