animal,mean,std,lower,upper,ci_width,state_threshold,exceedance
pig1720,0.020671514248660355,0.00121725059821694,0.018634769141442468,0.022713322387494028,0.00407855324605156,90,SpikestdCoact_output_1min_20minbuff_0p6
pig1721,0.05136311342567341,0.0021137892534086222,0.04782794751191731,0.05482033749903972,0.006992389987122413,90,SpikestdCoact_output_1min_20minbuff_0p6
pig1723,0.03545093816673645,0.001803381033655225,0.032402145520528,0.038483778987457876,0.006081633466929873,90,SpikestdCoact_output_1min_20minbuff_0p6
pig1740,0.07894295576658117,0.0022402100434742163,0.07538135645205157,0.0825799364375628,0.007198579985511225,90,SpikestdCoact_output_1min_20minbuff_0p6
pig1741,0.055603961543854226,0.0015453407769125654,0.05300526951280955,0.058093035347372424,0.005087765834562871,90,SpikestdCoact_output_1min_20minbuff_0p6
pig1742,0.0578755322633475,0.0020758259635328485,0.05453652145430721,0.06133311496888304,0.00679659351457583,90,SpikestdCoact_output_1min_20minbuff_0p6
