animal,mean,std,lower,upper,ci_width,state_threshold,exceedance
N1,0.040607834,0.001643298,0.038043057,0.043250244,0.005207187,80,SpikerateCoact_output_1min_20minbuff_0p6
N2,0.130101993,0.003314129,0.124744237,0.135559134,0.010814897,80,SpikerateCoact_output_1min_20minbuff_0p6
N3,0.149846065,0.003695907,0.143666128,0.155929094,0.012262966,80,SpikerateCoact_output_1min_20minbuff_0p6
N4,0.240282963,0.003681868,0.234361316,0.246184644,0.011823328,80,SpikerateCoact_output_1min_20minbuff_0p6
N5,0.18014752,0.002654332,0.175944193,0.184870909,0.008926716,80,SpikerateCoact_output_1min_20minbuff_0p6
N6,0.182338601,0.003697068,0.176138225,0.188339338,0.012201114,80,SpikerateCoact_output_1min_20minbuff_0p6
