animal,mean,std,lower,upper,ci_width,state_threshold,exceedance
N1,0.032001876,0.001497387,0.029604671,0.034460259,0.004855588,70,SpikestdCoact_output_1min_20minbuff_0p6
N2,0.066083493,0.002427582,0.062185655,0.070110364,0.007924709,70,SpikestdCoact_output_1min_20minbuff_0p6
N3,0.100941756,0.003165959,0.095511555,0.106079639,0.010568084,70,SpikestdCoact_output_1min_20minbuff_0p6
N4,0.211256795,0.003492328,0.205363263,0.217183195,0.011819933,70,SpikestdCoact_output_1min_20minbuff_0p6
N5,0.169358681,0.002682307,0.165028623,0.173862834,0.008834212,70,SpikestdCoact_output_1min_20minbuff_0p6
N6,0.098162954,0.00269167,0.093842123,0.102689977,0.008847855,70,SpikestdCoact_output_1min_20minbuff_0p6
