animal,mean,std,lower,upper,ci_width,state_threshold,exceedance
N1,0.020540579,0.001212119,0.018564449,0.022502363,0.003937913,80,SpikestdCoact_output_1min_20minbuff_0p75
N2,0.050773981,0.002140865,0.047361788,0.054260946,0.006899158,80,SpikestdCoact_output_1min_20minbuff_0p75
N3,0.035736875,0.001873038,0.032601543,0.038882575,0.006281031,80,SpikestdCoact_output_1min_20minbuff_0p75
N4,0.133862892,0.003004478,0.128959844,0.138674531,0.009714687,80,SpikestdCoact_output_1min_20minbuff_0p75
N5,0.092048276,0.002025871,0.088758388,0.095326231,0.006567843,80,SpikestdCoact_output_1min_20minbuff_0p75
N6,0.060729037,0.002160152,0.057320668,0.064199148,0.00687848,80,SpikestdCoact_output_1min_20minbuff_0p75
