animal,mean,std,lower,upper,ci_width,state_threshold,exceedance
pig1720,0.06948504589507647,0.002198429016550721,0.06581941100524585,0.07306235901116499,0.007242948005919139,60,SpikerateCoact_output_1min_20minbuff_0p75
pig1721,0.1678367519191689,0.0036839858448498262,0.16165939490894546,0.17415712661259558,0.012497731703650122,60,SpikerateCoact_output_1min_20minbuff_0p75
pig1723,0.2505762596957189,0.004542564042209883,0.24316563976790093,0.25802077725269684,0.014855137484795916,60,SpikerateCoact_output_1min_20minbuff_0p75
pig1740,0.289547667823635,0.0038517061121686007,0.2831860246281373,0.295617157329532,0.012431132701394676,60,SpikerateCoact_output_1min_20minbuff_0p75
pig1741,0.25029365778448737,0.0030565300617243388,0.24550551510516358,0.2551768954325008,0.009671380327337248,60,SpikerateCoact_output_1min_20minbuff_0p75
pig1742,0.30561898132983933,0.00461919138040317,0.2981493612839828,0.31321650835244,0.015067147068457243,60,SpikerateCoact_output_1min_20minbuff_0p75
