animal,mean,std,lower,upper,ci_width,state_threshold,exceedance
N1,0.002242993,0.000407287,0.001547037,0.002953435,0.001406398,60,SpikerateCoact_output_1min_20minbuff_0p9
N2,0.028417632,0.001592717,0.025820565,0.030957641,0.005137076,60,SpikerateCoact_output_1min_20minbuff_0p9
N3,0.042261969,0.001989045,0.038782876,0.045562402,0.006779526,60,SpikerateCoact_output_1min_20minbuff_0p9
N4,0.136485009,0.002906851,0.131883418,0.141329857,0.009446438,60,SpikerateCoact_output_1min_20minbuff_0p9
N5,0.097859059,0.002068295,0.094537627,0.10124654,0.006708913,60,SpikerateCoact_output_1min_20minbuff_0p9
N6,0.071621684,0.00231659,0.067638388,0.07533983,0.007701441,60,SpikerateCoact_output_1min_20minbuff_0p9
