animal,mean,std,lower,upper,ci_width,state_threshold,exceedance
N1,0.020114159,0.001160467,0.01821285,0.022083959,0.00387111,60,SpikestdCoact_output_1min_20minbuff_0p9
N2,0.049223256,0.002146964,0.045497151,0.052769236,0.007272086,60,SpikestdCoact_output_1min_20minbuff_0p9
N3,0.046773843,0.00212781,0.043269327,0.05024825,0.006978924,60,SpikestdCoact_output_1min_20minbuff_0p9
N4,0.132610543,0.002784447,0.127941177,0.137251793,0.009310616,60,SpikestdCoact_output_1min_20minbuff_0p9
N5,0.091045015,0.001981438,0.087972097,0.094447435,0.006475338,60,SpikestdCoact_output_1min_20minbuff_0p9
N6,0.06459073,0.002256477,0.060923682,0.068297576,0.007373895,60,SpikestdCoact_output_1min_20minbuff_0p9
