animal,mean,std,lower,upper,ci_width,state_threshold,exceedance
N1,0.020405564,0.001119304,0.018564449,0.022224599,0.00366015,90,SpikestdCoact_output_1min_20minbuff_0p75
N2,0.049377461,0.002076484,0.04605188,0.052769236,0.006717356,90,SpikestdCoact_output_1min_20minbuff_0p75
N3,0.029223345,0.00160542,0.026719308,0.031903651,0.005184343,90,SpikestdCoact_output_1min_20minbuff_0p75
N4,0.071511509,0.002166275,0.06811147,0.075109712,0.006998242,90,SpikestdCoact_output_1min_20minbuff_0p75
N5,0.048821831,0.001462515,0.046391174,0.051201425,0.004810251,90,SpikestdCoact_output_1min_20minbuff_0p75
N6,0.052357026,0.002083247,0.048886341,0.055601048,0.006714707,90,SpikestdCoact_output_1min_20minbuff_0p75
