time,shannon_entropy
11000.3847,0.6725144872856125
11003.77729330986,-999.0
11007.169886619718,0.7011637087830374
11010.562479929578,0.7011637087830374
11013.955073239436,0.7011637087830374
11017.347666549296,0.6214674826536629
11020.740259859156,0.60780368521547
11024.132853169014,0.6461113830687738
11027.525446478874,-999.0
11030.918039788732,0.6652949920572933
11034.310633098592,0.6635319644776108
11037.703226408452,-999.0
11041.09581971831,-999.0
11044.48841302817,0.720258349642231
11047.881006338028,-999.0
11051.273599647888,0.7115199078225742
11054.666192957748,0.7474662884996455
11058.058786267606,0.6954289027664231
11061.451379577466,-999.0
11064.843972887325,-999.0
11068.236566197183,0.6569860401149608
11071.629159507043,-999.0
11075.021752816901,0.7121062888494165
11078.414346126761,0.5459655539057281
11081.806939436621,0.6961263468869332
11085.19953274648,-999.0
11088.59212605634,0.6141898799810047
11091.984719366197,0.6455872498298825
11095.377312676057,0.6174146589408694
